grid_id,lon,lat,base_score
5*0*0*0*,197343.0331614385,556344.731336799,3.4835582
5*0*0*6*,197282.6641620915,554351.7722753244,3.5149221
5*0*0*8*,199189.979668343,554503.889223174,2.8614812
5*0*1*1*,197040.12813184247,556969.687273707,3.253363
5*0*1*3*,200643.611678111,555856.992238415,5.436264
5*0*2*7*,199824.527161446,553140.159061341,5.813141
5*0*2*8*,196215.190841685,556546.311079587,6.011168
5*0*3*5*,199637.294960291,553456.614555995,5.990168
5*0*3*6*,199273.497727746,554260.284173661,2.691202
5*0*3*8*,198038.478798732,554293.802369581,3.5772173
5*0*3*9*,197209.275027835,552986.98063548,5.588344
5*0*4*1*,197774.124474709,553936.38433738,3.4750617
5*0*4*6*,196670.476402362,554601.224742539,2.8455226
5*0*4*9*,197958.426774108,553438.792842838,3.5698302
5*0*5*5*,197348.089350674,553198.9042064125,3.0574617
5*0*8*5*,197380.542325477,557313.813963649,2.5525029
5*0*8*6*,195693.423475006,554436.881765821,6.1187086
5*0*8*7*,198185.5350845515,554473.7081495282,4.142178
5*0*8*8*,199465.771090197,553901.0026813284,3.604304
5*0*9*1*,198618.222513237,553860.309537745,3.201123
5*0*9*3*,197920.393733767,552839.647905448,11.566616
5*1*0*3*,197830.512386176,555856.992238415,2.1580718
5*1*0*6*,199673.473169824,552146.07123267,4.9173083
5*1*0*8*,197131.090412132,556260.689061879,2.9480195
5*1*1*1*,198667.68773668,557448.9109387,5.7138686
5*1*1*2*,197875.181070741,553390.634961342,2.728278
5*1*2*0*,197108.2054014433,555324.931080934,3.9585626
5*1*2*4*,198217.983495992,553458.4737843166,3.426611
5*1*2*6*,196285.385912537,554501.231269975,3.6150863
5*1*2*8*,197788.495001807,552214.133505729,5.7945466
5*1*2*9*,201890.351592007,552976.840743875,4.081995
5*1*3*4*,197781.565675622,556140.488146029,2.9640236
5*1*3*5*,197272.031042001,552786.418024983,5.9864154
5*1*3*9*,196210.937527513,552598.698315522,5.5086584
5*1*4*6*,201193.579648361,556560.670049863,4.4310865
5*1*5*1*,200841.7402433775,555157.8266909979,3.1587648
5*1*5*3*,197506.59571940036,555782.1748308863,3.9613523
5*1*5*8*,197868.0060783915,553210.3528091339,3.2678554
5*1*6*6*,199085.203137681,556406.956969054,4.8542833
5*1*6*7*,196991.207274677,558246.198302691,4.544855
5*1*6*9*,201685.580131426,553134.803379531,6.139378
5*1*7*0*,197920.925321758,557801.015704275,5.7097516
5*1*7*2*,197815.0842187035,553106.635969803,3.6837287
5*1*7*3*,198837.34447918,554043.28752557,3.1612163
5*1*7*7*,200986.683130269,553963.49239013,5.116548
5*1*7*8*,196264.649786955,555746.0987040824,3.6808715
5*1*8*4*,199477.737714918,552252.440748536,5.171401
5*1*8*5*,196560.901794732,555624.6823771483,2.613986
5*1*8*6*,200073.980518592,553266.193593026,5.8932076
5*1*8*7*,199178.28839153948,553366.9826097125,3.5407355
5*1*8*9*,199540.489490925,556331.966013695,5.8789034
5*1*9*1*,197144.909852056,554927.5326021151,3.6481252
5*1*9*2*,197749.13550534,557997.810804345,5.047365
5*1*9*7*,197431.602544029,554359.74625648,3.4983594
5*2*0*1*,196437.5117017575,557541.990485384,3.454963
5*2*0*2*,197987.0444445233,555570.4859431171,4.244032
5*2*0*3*,197436.1063030415,554604.675509017,3.8246908
5*2*0*4*,200380.87236385,556753.743505763,5.144593
5*2*0*6*,197619.4508677466,554086.7935316691,3.7085629
5*2*0*8*,196382.204883114,554274.636444669,3.3444562
5*2*0*9*,196847.067762307,558187.157766562,4.7325125
5*2*2*6*,198263.09559950035,554950.6669778776,4.1505637
5*2*2*7*,197144.893613395,556640.454393458,5.1010613
5*2*2*9*,197029.489145711,557556.351271313,5.4553123
5*2*3*1*,198868.738377652,553946.483392819,2.9285965
5*2*3*6*,197653.928082626,553389.610712197,2.7083123
5*2*3*7*,197067.791563554,554451.23453358,3.4670134
5*2*4*2*,199076.4360365475,555336.277304557,3.6218486
5*2*4*3*,198365.829336288,555597.4350222445,3.7485585
5*2*4*4*,196687.484460307,558502.566012148,4.3503942
5*2*4*5*,201280.288281156,552828.44397224,4.2941318
5*2*4*8*,199254.3506874605,552575.270625666,2.2650723
5*2*4*9*,196980.023977906,556750.02065915,5.833217
5*2*5*1*,200387.781218579,556186.230583085,5.6389956
5*2*5*6*,200140.453140507,557547.840515396,4.638868
5*2*5*8*,197379.9977936265,555767.6400992679,3.662172
5*2*5*9*,197084.54634406324,554702.8040153952,3.5695157
5*2*6*3*,197550.21176664231,554548.3808390837,3.8099952
5*2*6*4*,197830.499461255,554605.477555575,3.4196174
5*2*6*7*,199639.42059394,557804.207401268,4.691919
5*2*6*8*,198354.946368084,553178.423084609,3.7632232
5*2*7*0*,195930.107808675,552294.467238079,4.1841817
5*2*7*1*,196737.76291496,553480.01827436,3.883213
5*2*7*2*,197788.21994635952,555412.0610036785,3.4234314
5*2*7*3*,198487.24485566924,555905.3966182405,3.958821
5*2*7*5*,197646.482925419,555147.998870756,3.4705067
5*2*7*8*,199371.365270923,558291.938963269,4.4655013
5*2*8*1*,198491.086370931,557840.905309821,5.6359863
5*2*8*3*,197129.48248585,553921.99996885,2.9867194
5*2*8*5*,197145.452211611,555002.793564583,3.5154757
5*2*8*6*,197681.5795519663,555062.0004914133,4.319822
