"가맹점블록코드(BLCK_CD)","외국인관광업종코드(SF_UPJONG_CD)","기준년월(TS_YM)","일별(TS_YMD)","시간대구간(TM_CD)","카드이용금액계(AMT_CORR)","카드이용건수(USECT_CORR)"
"358632","SF020816","202104","20210401","T5",14200,17.86
"20455","SF020816","202007","20200714","T5",1600,1
"18875","SF082044","201802","20180204","T6",26800,3
"207925","SF051330","201805","20180502","T3",133610,1
"24568","SF041224","201807","20180728","T6",3500,3
"192958","SF020713","202102","20210211","T4",9000,2
"107009","SF020713","201701","20170123","T6",5000,1
"27826","SF020816","201712","20171215","T2",230958.46,1
"206774","SF010101","201904","20190410","T3",46000,1
"343434","SF010408","201808","20180820","T5",25000,3
"162812","SF020816","201802","20180215","T4",4000,2
"502544","SF020816","202103","20210303","T4",38000,1
"30649","SF020816","201803","20180305","T4",2400,1
"226318","SF020713","202005","20200528","T5",9500,1
"353609","SF010305","201710","20171017","T5",3361986.01,5.71
"18740","SF020816","202104","20210404","T4",32500,2
"419808","SF041121","202007","20200731","T6",14000,1
"216554","SF112555","201705","20170531","T6",2980,1
"332287","SF010101","201807","20180708","T2",37000,1
"23501","SF051330","201703","20170310","T3",8810,1
"269079","SF020612","201703","20170329","T6",37600,1
"351661","SF010408","201702","20170226","T5",89325.88,1
"11636","SF010101","201910","20191003","T5",18400,2.86
"206666","SF031020","202106","20210623","T4",149500,1
"194727","SF020816","201701","20170109","T4",7000,2.86
"221407","SF010305","201912","20191210","T5",51690,2
"216582","SF041121","201903","20190319","T6",185460,8.86
"231872","SF031020","201809","20180906","T1",3900,1
"192788","SF010408","202012","20201228","T4",3700,2.86
"33586","SF020713","201710","20171025","T3",24000,1
"23748","SF082148","201702","20170223","T6",14800,1
"230374","SF010203","201701","20170101","T5",1800,2
"361786","SF020816","201907","20190723","T4",6600,2
"228593","SF020713","201712","20171231","T3",10300,1
"209815","SF010408","201912","20191209","T4",6000,2
"11603","SF041121","201811","20181128","T4",2500,1
"414075","SF082044","202001","20200106","T4",7320,2.86
"210803","SF010306","201901","20190120","T5",5400,1
"355358","SF010306","201807","20180708","T5",2000,1
"50662","SF031020","201702","20170220","T4",4984000,2
"225122","SF010408","202105","20210519","T1",99000,1
"269015","SF010408","201804","20180416","T5",22100,1
"195622","SF031020","201706","20170607","T5",15000,1
"418558","SF010408","202101","20210115","T5",2400,1
"221351","SF071943","201805","20180522","T5",16050,1
"353143","SF010101","202007","20200729","T1",4200,2
"230914","SF041121","202010","20201009","T6",41720,3
"226316","SF010408","201905","20190531","T3",46000,1
"199776","SF020816","201702","20170211","T3",89640,1
"20547","SF041121","201701","20170126","T3",20000,1
"223584","SF010203","202105","20210522","T3",15800,1
"225412","SF020816","201909","20190901","T5",20300,2
"8238","SF010408","202104","20210407","T4",36100,1
"30053","SF051330","201908","20190806","T6",339000,2.86
"151717","SF020713","201805","20180524","T4",11000,2
"222264","SF010408","202005","20200519","T1",6925210,1
"502139","SF010101","201801","20180114","T2",1500,1
"29434","SF010307","201902","20190228","T6",950,1
"417075","SF061740","202106","20210606","T4",268960,1
"33072","SF020713","201901","20190105","T4",35000,1
"271093","SF061536","202106","20210612","T3",4800,1
"211877","SF010408","201812","20181219","T4",10500,1
"416256","SF020713","202006","20200620","T5",22573.33,1
"206700","SF010408","202005","20200501","T2",4200,1
"200960","SF020816","202001","20200114","T5",34612.65,1
"223825","SF010408","202002","20200210","T3",92186.51,1
"225198","SF010101","201703","20170310","T3",3500,1
"197734","SF010408","202103","20210318","T3",124000,1
"422411","SF051328","201706","20170607","T5",17000,1
"223615","SF020816","201801","20180117","T6",3000,2
"23776","SF010306","202104","20210424","T5",2950,2
"153597","SF041121","201910","20191026","T3",52800,1
"22865","SF061535","201909","20190912","T5",27500,1
"170226","SF010305","201802","20180223","T3",6850,2
"33667","SF020816","201912","20191210","T3",54000,1
"218176","SF082045","201804","20180427","T5",100000,1
"421588","SF082044","201806","20180624","T5",6800,1
"33631","SF010101","201802","20180214","T4",2500,1
"206799","SF082045","201811","20181112","T5",6700,1
"23892","SF010203","201906","20190617","T4",10790,1
"355358","SF010305","202007","20200722","T4",4000,2
"270459","SF020816","202012","20201204","T4",8300,1
"209125","SF010101","201801","20180112","T3",1300000,2
"24568","SF020713","201911","20191129","T5",314000,1
"225111","SF010305","202101","20210114","T3",39000,1
"200020","SF020713","202103","20210314","T2",15500,1
"269784","SF010408","202010","20201008","T5",102000,1
"230772","SF082045","201802","20180224","T6",400000,4
"283234","SF041121","201706","20170627","T4",150000,1
"355433","SF020816","202106","20210602","T5",3000,3
"354911","SF020816","201904","20190406","T3",8090,4.86
"277651","SF010408","201812","20181225","T4",52020,1
"414810","SF010101","201711","20171120","T3",18000,1
"227805","SF010408","201712","20171224","T5",700000,2
"225670","SF010101","201708","20170823","T5",28900,1
"24389","SF082148","201805","20180524","T4",30000,8
"192862","SF020816","202011","20201102","T6",3500,1
"418901","SF031020","201901","20190109","T3",32020,1
"8364","SF010202","201701","20170115","T4",9900,1
"421271","SF071841","201804","20180409","T5",45520,6
"211080","SF010408","201910","20191004","T4",3000,2
"226588","SF020816","201909","20190928","T4",12800,1
"217559","SF020816","202011","20201128","T5",218318.26,1
"210213","SF010204","201702","20170215","T5",7177087.76,1
"353194","SF051330","202007","20200709","T4",12500,1
"418942","SF082044","201806","20180610","T4",61750,1
"10173","SF071943","201910","20191024","T5",37100,1
"171890","SF010408","201706","20170630","T4",35000,1
"282848","SF031020","201907","20190716","T5",590700,2
"33216","SF092351","202008","20200813","T4",6250,1
"269766","SF020816","201805","20180508","T3",5900,2
"50535","SF010101","201711","20171109","T1",14800,1
"265614","SF071943","201811","20181102","T4",3500,2
"232186","SF020713","202102","20210221","T3",18300,1
"361277","SF082045","201808","20180811","T5",110000,2
"207883","SF020816","201808","20180805","T2",10000,1
"213421","SF010408","201704","20170408","T2",8200,2
"501500","SF082044","202011","20201113","T4",11400,1
"338409","SF010408","201910","20191015","T6",33000,15
"208112","SF061536","201905","20190502","T3",1443849.71,1
"352925","SF020715","202009","20200907","T4",10700,1
"213418","SF010408","202105","20210514","T6",124700,2
"207163","SF071943","202005","20200526","T5",9500,3
"221421","SF092351","201708","20170820","T4",2000,2
"417498","SF010408","201911","20191114","T2",34090.33,1
"208636","SF010306","201809","20180911","T3",22900,1
"202897","SF010204","202003","20200311","T3",5800,2
"228430","SF010203","201806","20180607","T3",8800,1
"216795","SF010202","201801","20180130","T5",18500,1
"23799","SF010101","201911","20191125","T2",50000,1
"13440","SF082045","202012","20201226","T3",40000,1
"361274","SF071841","202006","20200630","T3",5100,1
"22745","SF020715","202008","20200826","T4",29022.85,1
"27643","SF020816","201911","20191112","T2",5200,1
"28375","SF020816","201712","20171205","T3",7300,1
"362853","SF010203","201906","20190619","T3",2900,2.86
"231081","SF051330","201712","20171231","T5",2000,2
"33242","SF020816","202010","20201009","T2",320000,1
"225417","SF020816","201908","20190808","T5",288385.78,1
"166145","SF010101","201805","20180527","T4",14500,2
"349873","SF071841","201808","20180812","T3",12000,1
"197455","SF010101","202003","20200302","T4",3500,2
"353371","SF020816","202009","20200920","T4",16330,1
"355358","SF082148","201910","20191025","T4",1600,1
"215900","SF020816","201811","20181121","T6",69500,1
"361610","SF010408","201805","20180502","T3",4400,12
"208471","SF010101","201805","20180530","T4",85225.83,1
"215899","SF020816","201911","20191105","T3",12550,1
"343802","SF020816","202007","20200723","T3",2500,1
"421655","SF010408","201902","20190225","T4",2500,2
"206736","SF010408","202006","20200615","T5",7000,1
"179620","SF020713","201710","20171022","T4",9000,1
"362149","SF010101","201708","20170815","T5",7500,1
"24423","SF051330","201901","20190106","T3",69839.11,1
"223513","SF020713","201809","20180912","T2",146791.4,1
"201126","SF010307","201712","20171227","T4",13500,1
"206830","SF010408","201912","20191217","T3",9900,1
"221363","SF010408","201907","20190731","T5",2000,1
"343137","SF061535","202002","20200202","T5",24000,1
"343794","SF051331","201709","20170916","T5",4500,1
"223603","SF041121","201911","20191103","T5",68200,1
"339312","SF010202","202003","20200304","T3",6900,1
"212966","SF010203","202107","20210728","T4",40600,1
"269170","SF020816","202011","20201102","T6",89000,2
"225183","SF010305","201804","20180415","T2",23500,2
"351275","SF020816","202008","20200803","T4",25000,1
"266569","SF010101","202001","20200113","T4",1783600,1
"361276","SF041121","201908","20190805","T2",3900,1
"270896","SF020816","201909","20190922","T5",27000,1
"207029","SF010408","201812","20181230","T1",1800,1
"363905","SF010408","202101","20210131","T3",9000,2
"346469","SF010202","201901","20190117","T3",34000,1
"270896","SF020816","201807","20180709","T6",45700,1
"223744","SF020816","202005","20200529","T3",35000,2
"419031","SF061639","201811","20181114","T3",30000,1
"421655","SF010305","202007","20200727","T4",2000,2
"353609","SF020713","202006","20200624","T3",23300,1
"275122","SF010203","201812","20181228","T6",8720,1
"223598","SF020816","201905","20190524","T3",5800,1
"125136","SF041222","201810","20181029","T3",12700,1
"225269","SF092352","201904","20190402","T1",46068.02,1
"206830","SF010306","202004","20200417","T4",14000,1
"11015","SF010408","201905","20190506","T3",3500,1
"223598","SF082045","201902","20190211","T3",52000,1
"171470","SF020816","202103","20210325","T5",24000,5.71
"215920","SF082148","201906","20190611","T4",40800,2.86
"153597","SF031020","201701","20170125","T4",16900,1
"208613","SF020816","202005","20200522","T4",12800,1
"226895","SF020612","202102","20210215","T5",3900,1
"206789","SF082148","201904","20190421","T4",17800,1
"153037","SF010101","202001","20200121","T3",14000,3
"502147","SF061535","201909","20190906","T5",66798.62,2
"155378","SF031020","201903","20190308","T4",5300,8
"206742","SF020816","202003","20200329","T3",5100,1
"366315","SF010203","202008","20200828","T4",1900,2
"24646","SF010101","202107","20210708","T3",3150,1
"206729","SF082148","202011","20201116","T3",246500,1
"197455","SF041121","202102","20210216","T3",7500,2
"24557","SF041224","201903","20190303","T4",12500,1
"206933","SF010306","201811","20181112","T1",5500,1
"222264","SF010101","201804","20180402","T3",17000,1
"221529","SF061536","201709","20170907","T4",5000,1
"22734","SF031020","201810","20181005","T6",110563.24,1
"206964","SF020816","202006","20200628","T6",5200,1
"209644","SF082045","201707","20170702","T2",4000,1
"24495","SF010408","201701","20170101","T6",4500,1
"213100","SF010203","201705","20170528","T3",96000,3
"24389","SF010408","201907","20190727","T5",11000,1
"221855","SF010203","202007","20200708","T5",4000,2
"225423","SF020816","201806","20180625","T6",2800,1
"222316","SF020816","201708","20170821","T5",8720,5.86
"223002","SF071841","201710","20171024","T5",19373737.06,1
"30944","SF020612","201905","20190504","T5",29120,1
"218687","SF010305","201905","20190526","T6",31720,1
"206682","SF051330","202008","20200805","T2",6500,1
"18064","SF082044","202106","20210622","T5",152000,1
"230317","SF010307","201810","20181023","T3",27640.81,2
"225224","SF010408","201901","20190123","T1",10400,1
"282163","SF010203","202005","20200523","T4",150000,1
"32100","SF010101","201707","20170713","T4",28562.17,1
"163641","SF041121","201802","20180218","T5",52000,1
"353912","SF020816","202103","20210327","T4",7200,3
"275225","SF010204","201705","20170524","T5",17000,2
"209187","SF020713","201710","20171008","T4",49000,2
"153771","SF010101","201910","20191001","T2",22200,1
"208294","SF010203","201907","20190727","T3",69000,1
"207132","SF041222","201811","20181102","T5",15000,8
"10072","SF071943","202008","20200824","T5",420000,1
"210556","SF082044","202005","20200504","T2",9000,1
"231328","SF020816","202009","20200902","T4",148000,1
"343826","SF082045","201902","20190201","T2",45000,1
"420199","SF041121","201711","20171110","T3",54000,1
"64088","SF010101","201705","20170522","T5",45000,1
"228990","SF010203","201705","20170512","T6",1000,1
"225378","SF010408","201901","20190106","T3",37000,1
"154322","SF031019","201803","20180312","T2",16000,1
