"가맹점집계구코드(TOT_REG_CD)","외국인관광업종코드(SF_UPJONG_CD)","기준년월(TS_YM)","일별(TS_YMD)","국가별(COUNTRY_ENG_NM)","카드이용금액계(AMT_CORR)","카드이용건수(USECT_CORR)"
"1114069010029","SF010408","201712","20171202","ETC",19000,1
"1105066010704","SF020713","201811","20181103","미국",6000,1
"1103066030003","SF061535","201706","20170607","미국",921360.31,4
"1114069010019","SF010306","201912","20191225","러시아",4700,1
"1103069010101","SF010305","202105","20210508","ETC",106900,2
"1123052020005","SF010306","201912","20191218","미국",200000,4
"1122054030002","SF010305","201707","20170716","미국",59490,1
"1105054030011","SF020713","202102","20210219","중국",9213603.09,1
"1102055040001","SF061536","202007","20200711","일본",6000,2
"1114071010001","SF010408","201711","20171105","미국",10300,2.86
"1105053020010","SF071841","201810","20181029","ETC",26000,2
"1112059050002","SF041223","201706","20170618","미국",45900,2.86
"1122055040005","SF010307","201802","20180228","ETC",6600,1
"1103053020005","SF041224","201711","20171119","일본",71000,2.86
"1112058020002","SF010408","201812","20181226","일본",4850,5
"1103070010017","SF010101","202001","20200111","홍콩",10400,2
"1113075020004","SF071842","202105","20210531","영국",5000,1
"1114066020001","SF010408","201712","20171224","미국",113100,1
"1123058040003","SF010408","201911","20191117","ETC",2400,1
"1103066020005","SF082148","202107","20210714","미국",14800,1
"1123052010009","SF010408","202104","20210415","미국",8800,2
"1120071030007","SF010101","202101","20210107","ETC",20050,1
"1125072010002","SF010101","202004","20200415","베트남",33629.65,2.86
"1124077030001","SF020816","201701","20170125","ETC",150000,1
"1113075030014","SF010305","201805","20180507","미국",26000,1
"1102058040004","SF010408","201812","20181203","ETC",107700,14.28
"1122053030001","SF010202","201907","20190730","일본",30900,1
"1111077040002","SF020816","201912","20191208","영국",2000,3
"1116054040001","SF010408","201905","20190527","미국",54000,1
"1121072040006","SF092352","202103","20210303","미국",35000,72
"1117061030001","SF020715","201911","20191119","미국",29000,1
"1123053040009","SF010408","202008","20200822","일본",20540,2
"1103065030002","SF010101","202102","20210201","대만",25200,3
"1123066020007","SF010408","201802","20180217","일본",12400,2
"1119054050302","SF010408","201903","20190308","ETC",12550,1
"1121057030001","SF061535","201704","20170407","ETC",5400,2.86
"1113075020202","SF020713","202002","20200224","미국",18500,3
"1120073040001","SF010101","202005","20200508","미국",235000,1
"1123064020010","SF082046","201903","20190325","일본",24876.73,1
"1104066020005","SF071841","201704","20170429","일본",19600,1
"1105063010001","SF082148","201908","20190822","미국",74000,1
"1103065020002","SF031018","201803","20180316","ETC",8500,52
"1122061010011","SF082047","201706","20170602","ETC",11100,4
"1102057020007","SF112555","201804","20180408","미국",5400,1
"1114071040007","SF082045","202006","20200630","ETC",4300,1
"1106089050001","SF010203","201903","20190325","ETC",197110,1
"1123064050002","SF010408","202003","20200326","미국",154400,3
"1119074060001","SF020816","201901","20190126","미국",7600,11
"1121073010021","SF020713","201803","20180328","미국",46068.02,8
"1123065020007","SF010101","201801","20180119","ETC",46000,3
"1104071040004","SF041222","202004","20200420","ETC",2900,2
"1104068010001","SF031020","202104","20210418","ETC",8000,1
"1123077030001","SF010306","201901","20190121","ETC",48700,1
"1104057020001","SF041224","201908","20190806","러시아",36400,1
"1114066090004","SF010202","202101","20210123","미국",2700,1
"1102065010002","SF051330","201703","20170310","미국",25200,3
"1106072040006","SF020816","201705","20170527","ETC",391400,1
"1113075020001","SF020816","202009","20200905","미국",11960000,1
"1101061030007","SF010306","202010","20201010","ETC",11000,1
"1123058040003","SF010408","201903","20190314","대만",81300,1
"1114070010018","SF020816","201912","20191211","영국",24540,1
"1124057010017","SF010306","201904","20190428","ETC",5700,1
"1104070020012","SF010101","201902","20190205","일본",131800,1
"1123064030002","SF010408","202001","20200121","ETC",17800,4
"1114077030002","SF010204","201906","20190626","미국",3220,3
"1123053030002","SF041121","201806","20180610","미국",15960,1
"1116071010003","SF010101","201805","20180512","일본",2000,1
"1105053020010","SF010203","202006","20200612","ETC",13000,2
"1113075020004","SF082045","201804","20180406","일본",18000,11
"1123051030001","SF061638","201709","20170910","미국",59888.42,4
"1121072030003","SF010408","201809","20180927","미국",2700,1
"1106071010004","SF112555","202004","20200402","중국",95000,2
"1115069010401","SF020715","201903","20190329","미국",18400,1
"1121054010004","SF020816","201810","20181023","ETC",225000,1
"1123076010006","SF020816","201712","20171215","미국",4950000,1
"1114075020002","SF010408","201903","20190316","중국",4000,1
"1122055040004","SF020713","202005","20200519","태국",446859.75,1
"1102069010001","SF020713","201709","20170926","미국",487860.28,2
"1103073040003","SF082045","202001","20200121","미국",233480,1
"1121062010010","SF010408","201701","20170105","미국",17000,2
"1122051010007","SF010408","201703","20170302","ETC",29022.85,2.86
"1114066060003","SF061535","201909","20190908","미국",5800,1
"1101053020002","SF010408","201901","20190114","미국",299000,2
"1123064040002","SF082148","201809","20180914","영국",7500,1
"1105067010004","SF020816","202105","20210509","러시아",165000,1
"1124071050001","SF051432","202107","20210720","ETC",1400,1
"1114071020001","SF010307","201912","20191203","홍콩",51000,1
"1124071020005","SF020816","201705","20170509","대만",55281.62,1
