"셀id(ID)","x좌표(X_COORD)","y좌표(Y_COORD)","요일(YOIL)","시간대(TIMEZN_CD)","남자00~04세(M00)","남자05~09세(M05)","남자10~14세(M10)","남자15~19세(M15)","남자20~24세(M20)","남자25~29세(M25)","남자30~34세(M30)","남자35~39세(M35)","남자40~44세(M40)","남자45~49세(M45)","남자50~54세(M50)","남자55~59세(M55)","남자60~64세(M60)","남자65~69세(M65)","남자70세이상(M70)","여자00~04세(F00)","여자05~09세(F05)","여자10~14세(F10)","여자15~19세(F15)","여자20~24세(F20)","여자25~29세(F25)","여자30~34세(F30)","여자35~39세(F35)","여자40~44세(F40)","여자45~49세(F45)","여자50~54세(F50)","여자55~59세(F55)","여자60~64세(F60)","여자65~69세(F65)","여자70세이상(F70)","합계(TOTAL)","행정동코드(ADMI_CD)","기준년월(ETL_YM)"
"5*0*3*5*",199637.294960291,553456.614555995,"4","19",0,0,0.0116,0,0.0182,30.6555,0.0463,0.0245,0.0029,0.0433,4.9206,0.0038,0.1971,0.0103,0.3477,0.0022,0,0,0.051,0.0231,0.0217,0.002,0.0232,0.2792,0.026,0.0176,0.0349,0.0254,0.0048,0.1844,0.8995,"11110690","201609"
"5*5*1*4*",199036.800547844,552677.92152981,"7","23",0.0009,0,0,0.0018,0.0361,0.1577,7.5146,0.0092,0.2211,0.0155,0,0.052,0.4233,1.3024,0.0147,0,0,0.1586,0.0782,0.001,0,0.0491,0,0.0252,0.0487,0,0.031,0.7133,0,0.0062,0.0231,"11500593","201603"
"5*3*1*4*",197545.398546237,552841.729233148,"1","12",0,0,0.0134,0.008,0.278,0.1877,0.1424,0.136,0.011,0.0597,0.001,0.0028,0.1989,0.0272,0.0177,0.0001,0,0.0685,0.4648,0.7646,0.5641,0.1835,0.1712,0,0.2207,0.0112,0.0422,0.0136,0.0081,0.0024,0.0258,"11680565","201605"
"5*6*5*8*",197124.706118236,556880.864228061,"3","12",0,0,0,0.1193,0.03,1.1772,2.0629,0,0.0142,0.0439,0.0381,0,0.0848,0.3907,0.0387,0,0,0,0,0,0.052,0.2393,0,0.0224,0,0.0153,0.3902,0.039,0.1183,0.1486,2.2494,"11545510","201710"
"5*1*6*7*",196991.207274677,558246.198302691,"1","18",0,0.0173,0,0.0024,0,0,1.1098,2.4447,2.3729,0.0064,0,0.7148,0,0.002,0.0099,0,0,0.2407,0.0605,0.2668,0.034,0.2876,0.1591,0,0.0006,0,0.1737,0.0092,0.0514,0.1537,0.0085,"11230610","201706"
"5*0*1*1*",196692.266973181,556981.920999212,"2","13",0.0001,0,0,0.0209,0.0016,0.0027,0,0.4651,0.0029,0.1214,0.3692,0.0539,0.0289,0.1255,0,0.0034,0.0037,0.003,0.0008,0.0023,0.9976,0.0533,0.2073,0.0045,0.002,0.0039,0.0872,0.1163,0,0.014,3.5734,"11380640","201712"
"5*8*8*0*",196588.022627728,552616.765395505,"6","23",0,0,0.0121,0.4232,0.0402,0.4595,0.0438,0,0.1071,0.0073,0.2366,0.4611,0,0.011,0.0474,0.0001,0,0,0.0229,0.6185,0.0015,0.0144,0,0.0871,5.0074,1.5398,0.0033,0.0059,0.174,0.0113,0.7956,"11350710","201801"
"5*4*0*0*",195933.815627868,555397.450695713,"3","10",0,0,0.0067,0.0287,0.0551,0.0624,0.0817,0.0175,0.0305,0.0243,2.5296,0.6078,0.3281,0.1812,0.173,0.0006,0,0.0729,0.0011,24.9147,0.0123,1.2199,0.0646,0.0498,0.0544,0.0047,0.1603,0,0.0012,0.0164,0.7032,"11140580","201712"
"5*6*8*0*",196387.524410147,552803.999218572,"1","03",0,0.1005,0.3407,0,0.0636,4.3554,0.3508,1.0272,0.0007,0.0646,0.9083,0.5491,0.0788,0.1159,0.0052,0.0041,0.002,0.0834,0.2698,0.0979,0.0376,0.026,0.0008,0.026,0.0101,0.1092,0,0.022,0.0009,0.0018,0.0077,"11170700","201604"
"5*2*9*0*",196224.759526184,554516.647425083,"6","05",0,0.0091,0.0019,0.0419,0.206,0.6265,0.0003,0.0036,0.002,2.9424,0.1571,0.0208,0,0.4034,0.0059,0,0.004,0.0415,0.1567,0.0031,0.0218,0,0.6265,0.0451,0.0196,0,0.0092,0,0.6332,0.0027,0.0404,"11320670","201711"
